particular,A110,A112,A115,A120,A125,A130,A140,A200,A310,A315,A320,A325,A330,A335,A340,A345,A500,A800,A850,A855,A900,A910,Total
,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"123,281,160","37,808,569","4,072,419","6,437,084","948,217","69,723","28,266","118,813","15,066,406","1,038,084","1,053,614","335,509","973,814","314,288","995,416","317,130","3,126,060","14,666,294","513,683",0,"33,001,487","36,501,739","280,667,775"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"1,434,336",0,"241,716",0,"625,290","69,723","28,266",360,"167,367",0,"7,715",0,"14,058",0,"7,778",0,"39,968","150,290",0,0,"190,818",0,"2,977,685"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"476,963",0,"23,314",0,"324,968","15,221","5,347",0,"51,990",0,"2,518",0,"2,570",0,"2,640",0,"14,787","49,676",0,0,"63,329",0,"1,033,323"
               Senate Electoral Tribunal,"32,091",0,315,0,"9,540",0,0,360,"3,851",0,204,0,387,0,206,0,"2,688","3,620",0,0,"5,100",0,"58,362"
          Commission on Appointments,"61,676",0,"2,959",0,0,"1,169","19,084",0,"7,401",0,346,0,216,0,335,0,"6,017","6,672",0,0,"8,640",0,"114,515"
          House of Representatives,"832,970",0,"215,128",0,"290,782","53,333","3,685",0,"99,956",0,"4,447",0,"10,693",0,"4,447",0,"10,426","87,945",0,0,"105,170",0,"1,718,982"
               House Electoral Tribunal,"30,636",0,0,0,0,0,150,0,"4,169",0,200,0,192,0,150,0,"6,050","2,377",0,0,"8,579",0,"52,503"
,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"237,998",0,"304,048",0,0,0,0,0,"28,565",0,"1,794",0,"1,642",0,"1,649",0,"20,964","27,292",331,0,"83,980",0,"708,263"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"237,998",0,"304,048",0,0,0,0,0,"28,565",0,"1,794",0,"1,642",0,"1,649",0,"20,964","27,292",331,0,"83,980",0,"708,263"
,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"16,644",0,"7,188",13,0,0,0,0,"1,998",0,108,0,99,0,102,0,"1,385","1,838",0,0,"2,743",0,"32,118"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"1,319,348",0,"2,232","21,343",0,0,0,0,"158,369",0,"10,949",0,"10,136",0,"10,379",0,"48,250","155,448",0,0,"278,956",0,"2,015,410"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,107,244",0,"2,232","16,018",0,0,0,0,"132,913",0,"9,142",0,"8,529",0,"8,786",0,"36,713","130,245",0,0,"230,433",0,"1,682,255"
          National Commission on Indigenous Peoples,"212,104",0,0,"5,325",0,0,0,0,"25,456",0,"1,807",0,"1,607",0,"1,593",0,"11,537","25,203",0,0,"48,523",0,"333,155"
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"1,570,025",0,"37,557","69,124",0,0,0,0,"188,444",0,"13,095",0,"11,811",0,"11,767",0,"33,417","185,169",0,0,"393,634",0,"2,514,043"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,165,213",0,"30,201","20,883",0,0,0,0,"139,869",0,"9,882",0,"8,888",0,"8,839",0,"20,007","138,139",0,0,"311,499",0,"1,853,420"
          Agricultural Credit Policy Council,"8,412",0,0,0,0,0,0,0,975,0,50,0,46,0,47,0,"1,609",924,0,0,"1,230",0,"13,293"
          Bureau of Fisheries and Aquatic Resources,"199,697",0,"4,293","8,615",0,0,0,0,"23,983",0,"1,702",0,"1,531",0,"1,504",0,"4,176","23,661",0,0,"43,615",0,"312,777"
          Bureau of Post-Harvest Research and Extension,"26,352",0,0,"32,127",0,0,0,0,"3,164",0,176,0,164,0,168,0,"2,629","2,928",0,0,"4,990",0,"72,698"
          Cotton Development Administration,"24,522",0,0,"1,055",0,0,0,0,"2,944",0,168,0,158,0,163,0,"1,405","2,740",0,0,"4,233",0,"37,388"
          Fertilizer and Pesticide Authority,"15,736",0,112,0,0,0,0,0,"1,890",0,111,0,102,0,105,0,740,"1,769",0,0,"2,771",0,"23,336"
          Fiber Industry Development Authority,"83,448",0,734,"6,106",0,0,0,0,"10,018",0,650,0,596,0,613,0,963,"9,647",0,0,"16,353",0,"129,128"
          Livestock Development Council,"5,321",0,355,65,0,0,0,0,640,0,41,0,37,0,39,0,358,609,0,0,"1,005",0,"8,470"
          National Agricultural and Fishery Council,"23,140",0,"1,862",273,0,0,0,0,"2,777",0,175,0,160,0,162,0,562,"2,654",0,0,"4,409",0,"36,174"
          National Meat Inspection Service,"3,818",0,0,0,0,0,0,0,459,0,28,0,26,0,26,0,358,434,0,0,700,0,"5,849"
          Philippine Carabao Center,"14,366",0,0,0,0,0,0,0,"1,725",0,112,0,103,0,101,0,610,"1,664",0,0,"2,829",0,"21,510"
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"190,433",0,"4,200","1,279",0,0,0,0,"22,871",0,"1,213",0,"1,134",0,"1,187",0,"18,687","20,877",0,0,"30,408",0,"292,289"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"190,433",0,"4,200","1,279",0,0,0,0,"22,871",0,"1,213",0,"1,134",0,"1,187",0,"18,687","20,877",0,0,"30,408",0,"292,289"
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"72,222,675",0,"769,031","4,922,939","286,806",0,0,132,"9,003,670",0,"639,866",0,"595,845",0,"630,458",0,"96,108","8,695,938",0,0,"16,905,463",0,"114,768,931"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"72,171,441",0,"768,387","4,920,424","286,106",0,0,0,"8,997,516",0,"639,401",0,"595,429",0,"630,047",0,"93,185","8,689,756",0,0,"16,893,898",0,"114,685,590"
          National Book Development Board,"6,318",0,0,759,0,0,0,0,760,0,45,0,41,0,43,0,"1,181",709,0,0,"1,098",0,"10,954"
          National Council for Children's Television,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700
          National Museum,"38,535",0,84,"1,691",0,0,0,0,"4,627",0,371,0,329,0,321,0,"1,222","4,740",0,0,"9,250",0,"61,170"
          Philippine High School for the Arts,"6,381",0,560,65,0,0,0,132,767,0,49,0,46,0,47,0,520,733,0,0,"1,217",0,"10,517"
,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"9,757,389",0,"412,263","14,323",0,0,0,0,"1,170,803",0,"73,910",0,"67,416",0,"68,354",0,"652,785","1,119,739",0,0,"2,019,788",0,"15,356,770"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          National Capital Region,"3,143,661",0,"192,284","7,008",0,0,0,0,"377,207",0,"22,209",0,"20,470",0,"20,528",0,"413,280","353,863",0,0,"699,433",0,"5,249,943"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,"54,317",0,"1,462",0,0,0,0,0,"6,521",0,398,0,366,0,384,0,"2,292","6,179",0,0,"10,075",0,"81,994"
               Marikina Polytechnic College,"27,585",0,852,0,0,0,0,0,"3,311",0,255,0,231,0,236,0,726,"3,359",0,0,"6,511",0,"43,066"
               Philippine Normal University,"103,206",0,"2,960","6,925",0,0,0,0,"12,387",0,718,0,653,0,668,0,"54,335","11,577",0,0,"18,295",0,"211,724"
               Philippine State College of Aeronautics,"26,685",0,243,0,0,0,0,0,"3,203",0,221,0,201,0,206,0,"2,005","3,140",0,0,"5,583",0,"41,487"
               Polytechnic University of the Philippines,"269,769",0,"24,508",0,0,0,0,0,"32,374",0,"2,078",0,"1,901",0,"1,939",0,"75,427","31,129",0,0,"52,954",0,"492,079"
               Rizal Technological University,"72,838",0,"2,130",0,0,0,0,0,"8,695",0,533,0,533,0,334,0,"8,632","8,447",0,0,"13,625",0,"115,767"
               Technological University of the Philippines,"164,886",0,"4,133",83,0,0,0,0,"19,789",0,"1,163",0,"1,074",0,"1,112",0,"33,362","18,578",0,0,"29,598",0,"273,778"
               University of the Philippines System,"2,424,375",0,"155,996",0,0,0,0,0,"290,927",0,"16,843",0,"15,511",0,"15,649",0,"236,501","271,454",0,0,"562,792",0,"3,990,048"
,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"593,671",0,"14,822",0,0,0,0,0,"71,288",0,"4,510",0,"4,099",0,"4,166",0,"14,661","68,234",0,0,"114,669",0,"890,120"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"205,103",0,"4,072",0,0,0,0,0,"24,616",0,"1,487",0,"1,352",0,"1,371",0,"3,148","23,279",0,0,"37,823",0,"302,251"
               Ilocos Sur Polytechnic State College,"46,899",0,"1,214",0,0,0,0,0,"5,663",0,404,0,365,0,371,0,951,"5,589",0,0,"10,297",0,"71,753"
               Mariano Marcos State University,"142,428",0,"4,869",0,0,0,0,0,"17,094",0,"1,107",0,"1,006",0,"1,021",0,"3,587","16,477",0,0,"28,181",0,"215,770"
               Pangasinan State University,"102,284",0,"2,479",0,0,0,0,0,"12,276",0,813,0,737,0,746,0,"4,556","11,907",0,0,"20,624",0,"156,422"
               University of Northern Philippines,"96,957",0,"2,188",0,0,0,0,0,"11,639",0,699,0,639,0,657,0,"2,419","10,982",0,0,"17,744",0,"143,924"
,,,,,,,,,,,,,,,,,,,,,,,
          Cordillera Administrative Region,"256,266",0,"7,520",0,0,0,0,0,"30,751",0,"2,026",0,"1,841",0,"1,870",0,"19,969","29,766",0,0,"51,312",0,"401,321"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,"33,378",0,"1,407",0,0,0,0,0,"3,996",0,266,0,240,0,245,0,"4,126","3,879",0,0,"6,696",0,"54,233"
               Apayao State College,"15,757",0,"1,912",0,0,0,0,0,"1,892",0,125,0,115,0,121,0,449,"1,834",0,0,"3,173",0,"25,378"
               Benguet State University,"110,433",0,"1,669",0,0,0,0,0,"13,255",0,865,0,781,0,784,0,"6,990","12,796",0,0,"21,910",0,"169,483"
               Ifugao State College of Agriculture and Forestry,"38,873",0,"1,909",0,0,0,0,0,"4,667",0,307,0,280,0,282,0,"3,890","4,516",0,0,"7,840",0,"62,564"
               Kalinga-Apayao State College,"28,007",0,355,0,0,0,0,0,"3,362",0,220,0,202,0,208,0,"3,196","3,250",0,0,"5,574",0,"44,374"
               Mountain Province State Polytechnic College,"29,818",0,268,0,0,0,0,0,"3,579",0,243,0,223,0,230,0,"1,318","3,491",0,0,"6,119",0,"45,289"
,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"415,120",0,"12,505",0,0,0,0,0,"49,503",0,"3,068",0,"2,769",0,"2,820",0,"13,961","47,344",0,0,"78,271",0,"625,361"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"5,751",0,"2,227",0,0,0,0,0,691,0,51,0,46,0,48,0,240,690,0,0,"1,287",0,"11,031"
               Cagayan State University,"131,918",0,"4,321",0,0,0,0,0,"15,698",0,990,0,892,0,904,0,"4,875","15,114",0,0,"25,212",0,"199,924"
               Isabela State University,"178,170",0,"4,180",0,0,0,0,0,"21,219",0,"1,258",0,"1,140",0,"1,166",0,"4,032","20,078",0,0,"32,188",0,"263,431"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"85,289",0,"1,619",0,0,0,0,0,"10,219",0,653,0,587,0,595,0,"4,123","9,819",0,0,"16,676",0,"129,580"
               Quirino State College,"13,992",0,158,0,0,0,0,0,"1,676",0,116,0,104,0,107,0,691,"1,643",0,0,"2,908",0,"21,395"
,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"619,222",0,"11,636",456,0,0,0,0,"74,343",0,"4,903",0,"4,471",0,"4,538",0,"32,510","71,952",0,0,"126,568",0,"950,599"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,"12,277",0,747,0,0,0,0,0,"1,474",0,109,0,97,0,96,0,"1,790","1,475",0,0,"4,153",0,"22,218"
               Bataan Peninsula State University,"59,719",0,"2,060",456,0,0,0,0,"7,169",0,510,0,465,0,475,0,"14,552","7,095",0,0,"13,039",0,"105,540"
               Bulacan Agricultural State College,"18,186",0,179,0,0,0,0,0,"2,185",0,161,0,145,0,147,0,468,"2,178",0,0,"4,021",0,"27,670"
               Bulacan State University,"73,755",0,401,0,0,0,0,0,"8,851",0,566,0,522,0,543,0,"2,974","8,498",0,0,"14,358",0,"110,468"
               Central Luzon State University,"122,193",0,804,0,0,0,0,0,"14,665",0,"1,001",0,892,0,884,0,"1,814","14,345",0,0,"25,613",0,"182,211"
               Don Honorio Ventura College of Arts and Trades,"43,172",0,"2,159",0,0,0,0,0,"5,181",0,301,0,301,0,300,0,844,"4,849",0,0,"8,113",0,"65,220"
               Nueva Ecija University of Science and Technology,"79,037",0,715,0,0,0,0,0,"9,487",0,597,0,544,0,559,0,"1,866","9,066",0,0,"15,163",0,"117,034"
               Pampanga Agricultural College,"40,774",0,"1,235",0,0,0,0,0,"4,910",0,324,0,293,0,300,0,"2,593","4,741",0,0,"8,219",0,"63,389"
               Philippine Merchant Marine Academy,"28,864",0,883,0,0,0,0,0,"3,466",0,266,0,231,0,223,0,"2,346","3,508",0,0,"6,809",0,"46,596"
               Ramon Magsaysay Technological University,"40,741",0,"1,559",0,0,0,0,0,"4,890",0,324,0,297,0,306,0,"1,445","4,733",0,0,"8,213",0,"62,508"
               Tarlac College of Agriculture,"44,800",0,380,0,0,0,0,0,"5,378",0,346,0,316,0,322,0,869,"5,171",0,0,"8,775",0,"66,357"
               Tarlac State University,"55,704",0,514,0,0,0,0,0,"6,687",0,398,0,368,0,383,0,949,"6,293",0,0,"10,092",0,"81,388"
,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"400,219",0,"11,935",0,0,0,0,0,"48,038",0,"3,231",0,"2,955",0,"3,060",0,"8,265","46,766",0,0,"81,759",0,"606,228"
